technical_rank,speaker,technical_score,snr_proxy_db,noise_floor_proxy_dbfs,rms_dbfs,peak_dbfs,crest_db,clipped_pct,silence_pct,internal_silence_gt_700ms,duration_s,technical_band,editorial_status,sample_url
11,62,100.0,42.16,-60.8,-16.18,0.0,16.18,0.0014,19.87,0,81.06,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_62.mp3
12,21,100.0,42.12,-58.38,-15.25,0.0,15.25,0.0025,17.65,0,62.33,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_21.mp3
13,14,100.0,41.77,-57.62,-14.85,0.0,14.85,0.0038,17.55,0,62.02,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_14.mp3
14,17,100.0,40.76,-59.59,-15.83,0.0,15.83,0.0021,14.85,0,70.19,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_17.mp3
15,66,100.0,40.5,-58.73,-16.03,0.0,16.03,0.0024,21.6,0,97.98,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_66.mp3
16,22,100.0,40.34,-58.25,-15.56,0.0,15.56,0.0037,21.49,0,78.38,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_22.mp3
17,97,100.0,39.93,-57.53,-15.72,0.0,15.72,0.0009,17.33,0,76.43,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_97.mp3
18,72,100.0,39.61,-57.21,-15.35,0.0,15.35,0.0028,15.32,0,65.42,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_72.mp3
19,13,100.0,39.58,-55.97,-14.91,0.0,14.91,0.0034,13.81,0,65.48,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_13.mp3
20,105,100.0,39.34,-57.76,-16.77,0.0,16.77,0.0025,16.52,0,76.87,A,TO_LISTEN,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_105.mp3
21,122,100.0,39.24,-59.82,-16.62,0.0,16.62,0.0017,18.54,0,70.0,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_122.mp3
22,116,100.0,39.04,-59.18,-17.65,0.0,17.65,0.0015,18.63,0,74.38,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_116.mp3
23,77,100.0,38.89,-61.67,-19.75,0.0,19.75,0.0014,22.44,0,96.64,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_77.mp3
24,92,100.0,38.83,-57.38,-16.11,0.0,16.11,0.0015,16.28,0,71.53,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_92.mp3
25,98,100.0,38.45,-60.18,-18.67,0.0,18.67,0.0019,19.86,0,85.9,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_98.mp3
26,12,100.0,38.4,-56.25,-15.78,0.0,15.78,0.0027,16.06,0,63.77,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_12.mp3
27,27,100.0,38.2,-56.16,-16.25,0.0,16.25,0.0031,20.35,0,81.08,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_27.mp3
28,109,100.0,37.43,-54.63,-15.15,0.0,15.15,0.0023,18.01,0,78.64,B,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_109.mp3
